views,appreciations,comments,foucs
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
12938,1208,67,497
14802,1207,43,649
12571,1205,28,671
14199,1204,62,456
13866,1204,35,581
22181,1239,45,808
9140,1238,61,484
14028,1238,24,433
12909,1238,32,436
16508,1237,62,666
18097,1237,61,452
11625,1237,54,617
11055,1237,45,622
10892,1236,56,120
9555,1236,31,516
11251,1236,48,384
15800,1234,40,523
14364,1233,49,569
22084,1232,42,274
1537,1232,1,5
1422,1230,0,5
16925,1229,41,508
13731,1227,41,467
12068,1226,55,525
14682,1226,6,325
16711,1225,75,771
9083,1226,34,433
1408,1226,0,5
11796,1224,77,455
5154,1224,11,127
5769,1225,1,35
17824,1223,50,536
16069,1223,34,578
10943,1220,30,195
12983,1220,35,275
15892,1219,62,447
20654,1218,24,780
1483,1219,0,5
12288,1215,39,659
2808,1213,3,45
13604,1212,30,364
11449,1211,6,93
13569,1208,27,726
